Bill No.,Session,Base URL w/o Bill ID,Session Appendage,Billnoappendage,Concat URL,URL to Bill Text,Hyperlink,Topic,Tags (No Code Ranges),Function,Code,Section,Bill Section,Code Division,Bill Section (With iterations),Date added to this list (thoroughness check),Checked for extra sections?,,,Special notes:
AB 140,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB140,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB140,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB140,Bill Text,Department of General Services § 14600-14985.11,Surplus Land,Allows leases of state property for affordable housing,Government,§ 14671.2,2,,2,8/1/22,Y,,,
AB 2233,2022,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB2233,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB2233,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB2233,Bill Text,Department of General Services § 14600-14985.11,Surplus Land,Requires the Department of General Services (DGS) to evaluate suitability of excess state land for affordable housing. Requires state agencies to consider exchanging land with localities.,Government,§ 14684.3,1,,1,,Y,,,
AB 101,2019,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201920200,AB101,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB101,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB101,Bill Text,Dept. of Housing and Comm. Dev. - § 50400 - 50899.7,Department of Housing and Community Development (HCD),"Establishes the ""Local Government Planning Support Grants"" program.",Health and Safety,§ 50515.0-.05,11,,11,7/29/22,Y,,,
AB 101,2019,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201920200,AB101,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB101,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB101,Bill Text,Dept. of Housing and Comm. Dev. - § 50400 - 50899.7,Department of Housing and Community Development (HCD),Allows the Department of Housing and Community Development (HCD) to report localities to the Attorney General (AG) for violating the new provisions of AB 101,Health and Safety,§ 50517.5,12,,12,7/29/22,Y,,,
AB 101,2019,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201920200,AB101,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB101,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB101,Bill Text,Dept. of Housing and Comm. Dev. - § 50400 - 50899.7,Department of Housing and Community Development (HCD),Lowers the percent of grant program funds set aside for curing defaults.,Health and Safety,§ 50517.6,13,,13,7/29/22,Y,,,
AB 101,2019,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201920200,AB101,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB101,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB101,Bill Text,Dept. of Housing and Comm. Dev. - § 50400 - 50899.7,Department of Housing and Community Development (HCD),Allows moderate income households to participate in CalHome in the case of a disaster.,Health and Safety,§ 50650,15,,15,7/29/22,Y,,,
AB 101,2019,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201920200,AB101,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB101,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB101,Bill Text,Dept. of Housing and Comm. Dev. - § 50400 - 50899.7,Department of Housing and Community Development (HCD),"Allows the grants to be used for disaster relief up to 120% area median income (AMI), and to build Accessory Dwelling Units (ADUs).",Health and Safety,§ 50650.3,16,,16,7/29/22,Y,,,
AB 101,2019,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201920200,AB101,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB101,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB101,Bill Text,Dept. of Housing and Comm. Dev. - § 50400 - 50899.7,Department of Housing and Community Development (HCD),Requires orgs administering the grants ensure participation by low-income households,Health and Safety,§ 50650.4,17,,17,7/29/22,Y,,,
AB 101,2019,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201920200,AB101,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB101,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB101,Bill Text,Dept. of Housing and Comm. Dev. - § 50400 - 50899.7,Department of Housing and Community Development (HCD),Allows housing trust funds to spend on permanent supportive housing and Accessory Dwelling Units (ADUs) (other changes too),Health and Safety,§ 50843.5,18,,18,7/29/22,Y,,,
AB 140,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB140,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB140,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB140,Bill Text,Dept. of Housing and Comm. Dev. - § 50400 - 50899.7,Department of Housing and Community Development (HCD),Establishes Regional Early Action Planning Grants program,Health and Safety,§ 50515.06-50515.10,15,,15,8/1/22,Y,,,
AB 140,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB140,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB140,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB140,Bill Text,Dept. of Housing and Comm. Dev. - § 50400 - 50899.7,Department of Housing and Community Development (HCD),Allows the Department of Housing and Community Development (HCD) to provide loans that allow preservation of affordable housing,Health and Safety,§ 50606-50609,16,,16,8/1/22,Y,,,
AB 140,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB140,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB140,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB140,Bill Text,Dept. of Housing and Comm. Dev. - § 50400 - 50899.7,Department of Housing and Community Development (HCD),"Permits loans and grants to ""qualified rental housing developments""",Health and Safety,§ 50672-50672.3,17,,17,8/1/22,Y,,,
AB 140,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB140,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB140,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB140,Bill Text,Dept. of Housing and Comm. Dev. - § 50400 - 50899.7,Department of Housing and Community Development (HCD),Changes loan calculation methods for Multifamily Housing Program,Health and Safety,§ 50675.1,18,,18,8/1/22,Y,,,
AB 140,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB140,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB140,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB140,Bill Text,Dept. of Housing and Comm. Dev. - § 50400 - 50899.7,Department of Housing and Community Development (HCD),Allocates and specifies use of funds through Multifamily Housing Program,Health and Safety,§ 50675.1.3,20,,20,8/1/22,Y,,,
AB 140,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB140,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB140,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB140,Bill Text,Dept. of Housing and Comm. Dev. - § 50400 - 50899.7,Department of Housing and Community Development (HCD),Creates a new California Environmental Quality Act (CEQA) exemption for projects targeted at people facing homelessness and COVID hardship,Health and Safety,§ 50675.1.4,21,Division 31: Housing and Home Finance - § 50000 - 54920,21,,Y,,,
AB 140,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB140,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB140,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB140,Bill Text,Dept. of Housing and Comm. Dev. - § 50400 - 50899.7,Department of Housing and Community Development (HCD),Establishes the Excess Site Local Government Matching Grants Program,Health and Safety,§ 50704.80-50704.83,22,,22,8/1/22,Y,,,
AB 140,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB140,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB140,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB140,Bill Text,Dept. of Housing and Comm. Dev. - § 50400 - 50899.7,Department of Housing and Community Development (HCD),Establishes the Foreclosure Intervention Housing Preservation Program,Health and Safety,§ 50720-50720.12,23,,23,8/1/22,Y,,,
AB 1483,2019,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201920200,AB1483,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB1483,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB1483,Bill Text,Dept. of Housing and Comm. Dev. - § 50400 - 50899.7,Department of Housing and Community Development (HCD),Requires the Department of Housing and Community Development (HCD) to make and distribute a 10-year housing data strategy,Health and Safety,§ 50452,2,Division 31: Housing and Home Finance - § 50000 - 54916,2,,Y,,,
AB 602,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB602,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB602,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB602,Bill Text,Dept. of Housing and Comm. Dev. - § 50400 - 50899.7,Department of Housing and Community Development (HCD),Requires the Department of Housing and Community Development (HCD) to create an impact fee nexus study template,Health and Safety,§ 50466.5,4,Division 31: Housing and Home Finance - § 50000 - 54918,4,,Y,,,
AB 671,2019,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201920200,AB671,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB671,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB671,Bill Text,Dept. of Housing and Comm. Dev. - § 50400 - 50899.7,Department of Housing and Community Development (HCD),Requires the Department of Housing and Community Development (HCD) to develop a list of state grants and incentives for Accessory Dwelling Units (ADUs).,Health and Safety,§ 50504.5,2,Division 31: Housing and Home Finance - § 50000 - 54919,2,,Y,,,
AB 68,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB68,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB68,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB68,Bill Text,Dept. of Housing and Comm. Dev. - § 50400 - 50899.7,Department of Housing and Community Development (HCD),Revises that quadrennial statewide housing plan and expands requirements of annual report from the Department of Housing and Community Development (HCD),Health and Safety,§ 50408.1,1,Division 31: Housing and Home Finance - § 50000 - 54915,1,,Y,,,
AB 68,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB68,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB68,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB68,Bill Text,Dept. of Housing and Comm. Dev. - § 50400 - 50899.7,Department of Housing and Community Development (HCD),Adds new article for code sections about statewide housing plan,Health and Safety,§ 50420-50426,2,,2,8/4/22,Y,,,
AB 68,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB68,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB68,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB68,Bill Text,Dept. of Housing and Comm. Dev. - § 50400 - 50899.7,Department of Housing and Community Development (HCD),Removes old code sections about statewide housing plan,Health and Safety,§ 50450-50454,3 - 7,,3-7,8/4/22,Y,,,
AB 879,2017,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201720180,AB879,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB879,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB879,Bill Text,Dept. of Housing and Comm. Dev. - § 50400 - 50899.7,Department of Housing and Community Development (HCD),Directs the Department of Housing and Community Development (HCD) to conduct a study of local permitting fees,Health and Safety,§ 50456,4,Division 31: Housing and Home Finance - § 50000 - 54917,4,,Y,,,
AB 2536,2022,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB2536,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB2536,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB2536,Bill Text,Development Fees - § 66016 - 66019 ,Development Fees  ,"Clarifies that rules about nexus fee studies apply to cities, counties, and special districts.",Government,§ 66016.5,1,,1,11/28/22,Y,,,
AB 2536,2022,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB2536,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB2536,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB2536,Bill Text,Development Fees - § 66016 - 66019 ,Development Fees  ,"Requires that before a locality adds or increases a development fee, it must evaluate whether the fee exceeds the reasonable cost of providing service",Government,§ 66016.6,2,,2,11/28/22,Y,,,
AB 2668,2022,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB2668,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB2668,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB2668,Bill Text,Development Fees - § 66016 - 66019 ,Development Fees  ,"Clarifies that rules about nexus fee studies apply to cities, counties, and special districts.",Government,§ 66016.5,2,,2,11/28/22,Y,,,
AB 602,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB602,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB602,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB602,Bill Text,Development Fees - § 66016 - 66019 ,Development Fees  ,Adds to requirements for impact fee nexus studies,Government,§ 66016.5,2,"Title 7, Division 1: Planning and Zoning -  § 65000 - 66360",2,,Y,,,
AB 602,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB602,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB602,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB602,Bill Text,Development Fees - § 66016 - 66019 ,Development Fees  ,Allows anyone to submit evidence that the locality incorrectly calculated its fees,Government,§ 66019,3,,3,8/4/22,Y,,,
AB 140,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB140,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB140,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB140,Bill Text,Duties of the Treasurer of California § 12320-12334,Duties of the Treasurer of California  ,Establishes the California Dream for All Program,Government,§ 12334,1,,1,8/1/22,Y,,,
AB 1560,2019,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201920200,AB1560,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB1560,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB1560,Bill Text,Environmental Quality - § 21000 - 21189,Environmental Quality ,"Defines ""Bus rapid transit""",Public Resources,§ 21060.2,1,Division 13.5: Environmental Quality - § 21000-21189.70.10,1,,Y,,,
AB 1560,2019,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201920200,AB1560,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB1560,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB1560,Bill Text,Environmental Quality - § 21000 - 21189,Environmental Quality ,"Expands the definition of ""major transit stop"" to include bus public transit stops",Public Resources,§ 21064.3,2,,2,8/2/22,Y,,,
AB 73,2017,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201720180,AB73,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB73,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB73,Bill Text,Environmental Quality - § 21000 - 21189,Environmental Quality ,Exempts projects within Housing Sustainability Districts from some Environmental Impact Report (EIR) requirements.,Public Resources,§ 21155.10-21155.11,3,,3,8/4/22,Y,,,
SB 7,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,SB7,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220SB7,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220SB7,Bill Text,Environmental Quality - § 21000 - 21189,Environmental Quality ,Expedites review under California Environmental Quality Act (CEQA). ,Public Resources,§ 21178-21189.3,1,Division 13.5: Environmental Quality - § 21000-21189.70.12,1,,Y,,,
SB 886,2022,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,SB886,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220SB886,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220SB886,Bill Text,Environmental Quality - § 21000 - 21189,Environmental Quality ,"Creates a California Environmental Quality Act (CEQA) exemption for public university faculty and staff housing projects, as well as some student housing projects",Public Resources,§ 21080.58,1,,1,11/28/22,Y,,,
AB 1584,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB1584,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB1584,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB1584,Bill Text,Evictions - § 1159-1179a,Evictions,Affects when courts must release records of civil cases (including evictions),Code of Civil Procedure,§ 1161.2,7,,7,8/3/22,Y,,,
AB 101,2019,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201920200,AB101,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB101,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB101,Bill Text,General Plan - § 65400 - 65404,General Plan ,"Requires planning agencies to report on the use of funds received through the ""Local Government Planning Support Grants"" program.",Government,§ 65400,3,,3,7/7/22,Y,,,
AB 1486,2019,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201920200,AB1486,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB1486,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB1486,Bill Text,General Plan - § 65400 - 65404,General Plan ,Requires annual plans to include an inventory of surplus lands,Government,§ 65400.1,14,"Title 7, Division 1: Planning and Zoning -  § 65000 - 66303",14,,Y,,,
AB 168,2020,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201920200,AB168,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB168,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB168,Bill Text,General Plan - § 65400 - 65404,General Plan ,Localities must report on updates to housing elements to comply with tribal consultation/density bonuses/student housing,Government,§ 65400,2,,2/2.3/2.5/2.7,8/3/22,Y,,,
AB 2011,2022,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB2011,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB2011,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB2011,Bill Text,General Plan - § 65400 - 65404,General Plan ,"Increases reporting requirements for local planning agencies, including requirement to report applications received under new zoning rules. ",Government,§ 65400,1,,"1,1.1,1.2,1.3,1.4,1.5,1.6,1.7",11/9/22,Y,,,"Not in statute yet because goes into effect Jan 1, 2023. I can be more precise about what went into effect then."
AB 2094,2022,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB2094,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB2094,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB2094,Bill Text,General Plan - § 65400 - 65404,General Plan ,Requires localities to include progress on housing extremely low income households in annual reports to the Department of Housing and Community Development (HCD),Government,§ 65400,1,,"1,1.1,1.2,1.3,1.4,1.5,1.6,1.7",,Y,,,
AB 2345,2020,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201920200,AB2345,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB2345,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB2345,Bill Text,General Plan - § 65400 - 65404,General Plan ,Requires reporting on numbers of density bonus applications granted,Government,§ 65400,1,,1/1.3/1.5/1.7,8/3/22,Y,,,
AB 2653,2022,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB2653,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB2653,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB2653,Bill Text,General Plan - § 65400 - 65404,General Plan ,Allows the Department of Housing and Community Development (HCD) to request corrections to annual progress reports.,Government,§ 65400,1,,"1,1.1,1.2,1.3,1.4,1.5,1.6,1.7",,Y,,,
AB 787,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB787,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB787,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB787,Bill Text,General Plan - § 65400 - 65404,General Plan ,"Allows cities to claim credit for converting housing units to low income housing, up to 25% of Regional Housing Needs Allocation (RHNA) requirements",Government,§ 65400.2,1,"Title 7, Division 1: Planning and Zoning -  § 65000 - 66304",1,,Y,,,
AB 879,2017,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201720180,AB879,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB879,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB879,Bill Text,General Plan - § 65400 - 65404,General Plan ,"Requires charter cities to comply with annual general plan report, include housing and zoning data, and comply with the Department of Housing and Community Development (HCD) standards and forms",Government,§ 65400,1,"Title 7, Division 1: Planning and Zoning -  § 65000 - 66302",1/1.5,,Y,,,
SB 1333,2018,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201720180,SB1333,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180SB1333,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180SB1333,Bill Text,General Plan - § 65350 - 65362,General Plan ,Allows charter cities to adopt general plans by resolution,Government,§ 65356,2,,2,8/4/22,Y,,,
SB 290,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,SB290,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220SB290,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220SB290,Bill Text,General Plan - § 65400 - 65404,General Plan ,Requires cities to include data on student housing in Annual Progress Reports (APRs),Government,§ 65400,1,,1,8/4/22,Y,,,
SB 35,2017,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201720180,SB35,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180SB35,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180SB35,Bill Text,General Plan - § 65400 - 65404,General Plan ,Requires annual reporting of housing data,Government,§ 65400,1,"Title 7, Division 1: Planning and Zoning -  § 65000 - 66302",1/1.5,,Y,,,
AB 1743,2019,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201920200,AB1743,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB1743,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB1743,Bill Text,General Zoning - § 65000 - 65010,General Zoning ,Limits localities’ ability to reject projects because they qualify for Community Facilities District tax exemptions,Government,§ 65008,2,"Title 7, Division 1: Planning and Zoning -  § 65000 - 66301",2,,Y,,,
AB 2263,2018,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201720180,AB2263,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB2263,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB2263,Bill Text,Historical Building Code - § 18950 -18962,Historical Building Code  ,Reduces parking requirements for historical building conversions,Health and Safety,§ 18962,1,Division 13: Housing - § 17000-19997,1,,Y,,,
AB 140,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB140,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB140,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB140,Bill Text,State Housing Policy - § 50000 - 50259,Homelessness,Allows tribes to apply for the Homeless Housing Assistance and Prevention Program (HHAPP). Makes a few technical changes,Health and Safety,§ 50216,4,,4,8/1/22,Y,,,
AB 140,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB140,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB140,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB140,Bill Text,State Housing Policy - § 50000 - 50259,Homelessness,Allocates funds for the Homeless Housing Assistance and Prevention Program (HHAPP).,Health and Safety,§ 50217,5,,5,8/1/22,Y,,,
AB 140,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB140,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB140,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB140,Bill Text,State Housing Policy - § 50000 - 50259,Homelessness,Specifies how the funds for the Homeless Housing Assistance and Prevention Program (HHAPP) must be spent,Health and Safety,§ 50218.6,6,,6,8/1/22,Y,,,
AB 140,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB140,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB140,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB140,Bill Text,State Housing Policy - § 50000 - 50259,Homelessness,Specifies how the funds for Homeless Housing Assistance and Prevention Program (HHAPP) must be spent,Health and Safety,§ 50218.7,7,,7,8/1/22,Y,,,
AB 140,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB140,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB140,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB140,Bill Text,State Housing Policy - § 50000 - 50259,Homelessness,Requires recipients of funds for the Homeless Housing Assistance and Prevention Program (HHAPP) to report data,Health and Safety,§ 50220.6,8,,8,8/1/22,Y,,,
